,isInner,id1,id2,raw bzJumpi02,raw bzJumpi04,raw bzJumpi08,raw bzJumpi16,skeletons bzJumpi02,skeletons bzJumpi04,skeletons bzJumpi08,skeletons bzJumpi16,fstSecSkel bzJumpi02,fstSecSkel bzJumpi04,fstSecSkel bzJumpi08,fstSecSkel bzJumpi16,fStat_V1 bzJumpi02,fStat_V1 bzJumpi04,fStat_V1 bzJumpi08,fStat_V1 bzJumpi16,fStat0V1 bzJumpi02,fStat0V1 bzJumpi04,fStat0V1 bzJumpi08,fStat0V1 bzJumpi16,fStat_V2 bzJumpi02,fStat_V2 bzJumpi04,fStat_V2 bzJumpi08,fStat_V2 bzJumpi16,fStat0V2 bzJumpi02,fStat0V2 bzJumpi04,fStat0V2 bzJumpi08,fStat0V2 bzJumpi16
fStat0V1 bzJumpi04,0.4870112971694853,-0.11750154129778566,0.017542155986137998,0.861806222114675,0.8728873214258722,0.812897551266064,0.752141832960776,0.8693905278605611,0.8829251115867848,0.8194649055033684,0.7316521601141687,0.9152740673578532,0.9308175973171358,0.8514992156554695,0.7473767312283959,0.896480426078692,0.892799950149865,0.7701831811221701,0.6305552882922921,0.9174805610294835,1.0,0.8613593876777262,0.765111979403338,0.8964460380407279,0.8926110910075632,0.7700465878260933,0.6303834744851449,0.9174805610294835,0.9998263883109418,0.8613190488927263,0.7651599237599593
fStat0V1 bzJumpi08,0.5002328926294242,-0.12352092821950407,0.010797639518080951,0.7880257340411874,0.8028713237583436,0.7997394305513618,0.7673324887754238,0.7936273859998204,0.810988590985016,0.8272386986775807,0.7569955634890015,0.8271181982933449,0.8449633891188103,0.8590998705600622,0.7780337129248066,0.8119080805290331,0.8184839606759057,0.7341453971513495,0.6183055161040325,0.8256086122138774,0.8613593876777262,1.0,0.8322050766828855,0.8119151207502359,0.8183942074347874,0.7339861372399735,0.6181033684648611,0.8256086122138773,0.8613465506985122,0.9997712983160689,0.8322185444647507
fStat0V1 bzJumpi16,0.47278000897118716,-0.11178843901862419,0.025398575073511894,0.714524812687484,0.7338410613769726,0.7472147024845377,0.7473069566238618,0.7171982704588373,0.7423889777103062,0.7711037276250687,0.7421184367418207,0.7344210026820466,0.7605358163642689,0.7890295210563016,0.7609753430958929,0.7246958715744221,0.7427078723898777,0.7032339219345942,0.6138454918994558,0.7333677628904324,0.765111979403338,0.8322050766828855,1.0,0.7246786713429845,0.7426451873067186,0.7030775292545036,0.613605570351543,0.7333677628904324,0.7650969675241269,0.8321952548776906,0.9992431459569049
fStat_V2 bzJumpi02,0.449308307068342,-0.110645373249902,0.008265748334310138,0.8812680392932634,0.8499439729587952,0.7910297477683855,0.7250378889524232,0.8926922742949791,0.8525647354430971,0.7926929024609046,0.7063633421612711,0.9480455176003362,0.8914582227949491,0.8190574517924267,0.7178677871218658,0.999546858675556,0.9092877960056488,0.7601315463999331,0.6202728694058192,0.9519957974267843,0.8964460380407279,0.8119151207502359,0.7246786713429845,1.0,0.9092721537607996,0.7600453729725831,0.6202002278392078,0.9519957974267844,0.8964537626440656,0.8118977010790371,0.7247354382509982
fStat_V2 bzJumpi04,0.4618961327973719,-0.10031707735653456,0.040470275780048456,0.847610979528654,0.8430770034237449,0.7952206557973467,0.7367151967163913,0.8521885484672806,0.8442239000438767,0.7918781812454521,0.7160301734616474,0.8937115722012364,0.8823754924819825,0.819975464263778,0.7299206165289726,0.9092316049456315,0.9991932466721825,0.8201224117734307,0.6633618598339581,0.8966183426699769,0.8926110910075632,0.8183942074347874,0.7426451873067186,0.9092721537607996,1.0,0.8201430910501851,0.6633467606605646,0.8966183426699769,0.8926356311453644,0.8183816880081816,0.7427057094175619
fStat_V2 bzJumpi08,0.4424614763734468,-0.07084175812398232,0.089432833404362,0.7256317215317827,0.7339175386836154,0.7145094956563707,0.6839979559664486,0.7275942425544635,0.7378147360309537,0.7126498422201849,0.6736997300409863,0.7554281867489905,0.7654968901602599,0.7351062302714441,0.6864269794967591,0.7601001498661358,0.8200956861026529,0.9984443486438477,0.7376871415525734,0.7563617520028592,0.7700465878260933,0.7339861372399735,0.7030775292545036,0.7600453729725831,0.8201430910501851,1.0,0.7378860080315552,0.7563617520028592,0.7700755362274384,0.7339809898911265,0.703079706483274
fStat_V2 bzJumpi16,0.364237061457559,-0.05609814299943097,0.0903107023278403,0.6025535943123487,0.6134575927530116,0.6099528257190887,0.5974443309250893,0.6032915099119243,0.6155341841166464,0.6073917407072917,0.5922756985570153,0.6159599635001068,0.6291064653247493,0.6186673618852845,0.5989987140439861,0.6202162469197511,0.6633655339278975,0.7378061562347906,0.996383230531877,0.615962382672421,0.6303834744851449,0.6181033684648611,0.613605570351543,0.6202002278392078,0.6633467606605646,0.7378860080315552,1.0,0.6159623826724209,0.6303858009562122,0.6180941303476385,0.6136002941753961
fStat0V2 bzJumpi02,0.4635709226058905,-0.11560020139304401,0.006966634563966991,0.900550237496883,0.8635131120258859,0.7982640360815516,0.7329571024258343,0.9166302674766721,0.8677614523157263,0.805461142273479,0.7130779208025446,0.9819190865829229,0.9103253406240733,0.8338469026764948,0.7252916386520617,0.9520279225327631,0.8967311148240469,0.756505369984297,0.6161060256287706,0.9999999999999999,0.9174805610294835,0.8256086122138773,0.7333677628904324,0.9519957974267844,0.8966183426699769,0.7563617520028592,0.6159623826724209,1.0,0.9174966532378916,0.8255930538450963,0.7334228449336614
fStat0V2 bzJumpi04,0.48702188480030084,-0.11748291136019383,0.01754057933953667,0.8618247519140615,0.8729159820557999,0.8129221278848412,0.7521421078986993,0.8694042376785568,0.8829522814975387,0.8194841066739388,0.7316403290429672,0.915288942973376,0.930847143746566,0.8515201645494399,0.7473650173092751,0.8964926774104447,0.892825602143652,0.7702134498299252,0.6305592480530782,0.9174966532378916,0.9998263883109418,0.8613465506985122,0.7650969675241269,0.8964537626440656,0.8926356311453644,0.7700755362274384,0.6303858009562122,0.9174966532378916,1.0,0.8613203036176911,0.7651511925250827
fStat0V2 bzJumpi08,0.5002459945590402,-0.12351082316274367,0.010788359168353545,0.7880120759644876,0.8028631843910351,0.7997526561488939,0.767344741383215,0.7936107909089455,0.8109687342957999,0.8272455264020893,0.756986036133275,0.8271028497362624,0.8449432529184844,0.8591084756917999,0.7780233862052812,0.8118916233455883,0.818470900481368,0.73413985546029,0.6182956780632227,0.8255930538450963,0.8613190488927263,0.9997712983160689,0.8321952548776906,0.8118977010790371,0.8183816880081816,0.7339809898911265,0.6180941303476385,0.8255930538450963,0.8613203036176911,1.0,0.8322244885537472
fStat0V2 bzJumpi16,0.4727948473456724,-0.11179640144650911,0.025410215545098713,0.7145819888315816,0.7338748313246283,0.7471015299392059,0.7472052615609106,0.7172413686695555,0.7423944258788068,0.7710651645578701,0.7421037189270873,0.7344690610788445,0.7605412092661457,0.7889803452683866,0.7609533767326929,0.7247541011187794,0.7427673101037437,0.7032293411579309,0.613838174935822,0.7334228449336614,0.7651599237599593,0.8322185444647507,0.9992431459569049,0.7247354382509982,0.7427057094175619,0.703079706483274,0.6136002941753961,0.7334228449336614,0.7651511925250827,0.8322244885537472,1.0
