op,dec,hex,count,percent
MISSING,220,0xdc,     21,0.00%
SDIV,  5,0x05,     20,0.00%
PUSH26,121,0x79,     20,0.00%
MISSING,183,0xb7,     18,0.00%
MISSING,208,0xd0,     18,0.00%
MISSING, 70,0x46,     17,0.00%
EXTCODEHASH, 63,0x3f,     13,0.00%
MISSING, 75,0x4b,     12,0.00%
MISSING, 95,0x5f,     12,0.00%
CREATE2,245,0xf5,     12,0.00%
MISSING,173,0xad,     11,0.00%
MISSING, 39,0x27,     10,0.00%
MISSING,210,0xd2,     10,0.00%
MISSING,222,0xde,     10,0.00%
MISSING,251,0xfb,     10,0.00%
PC, 88,0x58,      9,0.00%
SWAP16,159,0x9f,      9,0.00%
MISSING,200,0xc8,      9,0.00%
MISSING,221,0xdd,      9,0.00%
MISSING,239,0xef,      9,0.00%
CALLCODE,242,0xf2,      9,0.00%
MISSING, 36,0x24,      8,0.00%
PUSH25,120,0x78,      8,0.00%
MISSING, 35,0x23,      7,0.00%
MISSING, 47,0x2f,      7,0.00%
MISSING,195,0xc3,      7,0.00%
MISSING,198,0xc6,      7,0.00%
MISSING,226,0xe2,      7,0.00%
MISSING, 15,0x0f,      6,0.00%
MISSING,179,0xb3,      6,0.00%
MISSING,194,0xc2,      6,0.00%
MISSING,203,0xcb,      6,0.00%
MISSING,209,0xd1,      6,0.00%
MISSING,212,0xd4,      6,0.00%
MISSING,215,0xd7,      6,0.00%
MOD,  6,0x06,      5,0.00%
MULMOD,  9,0x09,      5,0.00%
MISSING, 46,0x2e,      5,0.00%
BLOCKHASH, 64,0x40,      5,0.00%
MISSING, 72,0x48,      5,0.00%
MISSING, 93,0x5d,      5,0.00%
MISSING, 30,0x1e,      4,0.00%
MISSING,165,0xa5,      4,0.00%
MISSING,175,0xaf,      4,0.00%
MISSING,182,0xb6,      4,0.00%
MISSING,186,0xba,      4,0.00%
MISSING,189,0xbd,      4,0.00%
MISSING,190,0xbe,      4,0.00%
MISSING,201,0xc9,      4,0.00%
MISSING,211,0xd3,      4,0.00%
MISSING,218,0xda,      4,0.00%
MISSING,223,0xdf,      4,0.00%
MISSING,228,0xe4,      4,0.00%
MISSING,232,0xe8,      4,0.00%
MISSING,237,0xed,      4,0.00%
MISSING,238,0xee,      4,0.00%
MISSING,246,0xf6,      4,0.00%
ADDMOD,  8,0x08,      3,0.00%
MISSING, 31,0x1f,      3,0.00%
MISSING, 37,0x25,      3,0.00%
MISSING, 38,0x26,      3,0.00%
MISSING, 44,0x2c,      3,0.00%
MISSING, 92,0x5c,      3,0.00%
MISSING, 94,0x5e,      3,0.00%
SWAP14,157,0x9d,      3,0.00%
MISSING,167,0xa7,      3,0.00%
MISSING,178,0xb2,      3,0.00%
MISSING,184,0xb8,      3,0.00%
MISSING,188,0xbc,      3,0.00%
MISSING,191,0xbf,      3,0.00%
MISSING,199,0xc7,      3,0.00%
MISSING,217,0xd9,      3,0.00%
MISSING,219,0xdb,      3,0.00%
MISSING,224,0xe0,      3,0.00%
MISSING,236,0xec,      3,0.00%
MISSING,252,0xfc,      3,0.00%
XOR, 24,0x18,      2,0.00%
MISSING,180,0xb4,      2,0.00%
MISSING,227,0xe3,      2,0.00%
MISSING,231,0xe7,      2,0.00%
MISSING,247,0xf7,      2,0.00%
MISSING, 42,0x2a,      1,0.00%
MISSING, 43,0x2b,      1,0.00%
EXTCODECOPY, 60,0x3c,      1,0.00%
MISSING, 74,0x4a,      1,0.00%
PUSH30,125,0x7d,      1,0.00%
MISSING,166,0xa6,      1,0.00%
