,isInner,id1,id2,group1,group2,ppdeep-significantAndZero,ppdeep-significantOnly,ppdeep-skeleton,byteBag-significantOnly,byteBag-skeleton,lzjd1-significantAndZero,lzjd1-significantOnly,lzjd1-skeleton
106,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,73.62637362637363,63.41463414634146,47.88732394366197,0.8486842105263158,0.6518947500944228,0.476,0.47619047619047616,0.257985257985258
107,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,76.59574468085106,64.0,57.52212389380531,0.9711191335740073,0.8467420212765957,0.5132743362831859,0.7064220183486238,0.3671562082777036
108,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,74.19354838709677,60.714285714285715,47.945205479452056,0.8354838709677419,0.626808100289296,0.5154004106776181,0.4418604651162791,0.23895946763460374
109,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,84.04255319148936,74.0,68.0,0.9345454545454546,0.8241440282912715,0.5692963752665245,0.5121951219512195,0.3671562082777036
110,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,72.82608695652173,64.0,54.054054054054056,0.842809364548495,0.7958039718129404,0.5,0.37777777777777777,0.30862619808306707
111,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,74.44444444444444,65.0,47.945205479452056,0.7507788161993769,0.6193533048026628,0.5050709939148073,0.38235294117647056,0.23373493975903614
112,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,93.02325581395348,84.0,80.0,0.8870967741935484,0.9279590378661586,0.6798336798336798,0.75,0.5645530939648586
113,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,73.03370786516854,56.75675675675676,36.206896551724135,0.7347560975609756,0.6413936798240537,0.425,0.3900709219858156,0.18244803695150116
114,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,85.22727272727272,81.60919540229885,64.6341463414634,0.8734177215189873,0.9305442256147303,0.5899419729206963,0.5193798449612403,0.4453069865913903
115,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,76.40449438202248,60.75949367088607,51.19047619047619,0.767515923566879,0.7141838069195101,0.5206611570247934,0.42028985507246375,0.28240450845335
116,True,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,71.26436781609195,59.45945945945946,34.48275862068965,0.8280254777070064,0.6267653758542141,0.46218487394957986,0.47368421052631576,0.19069767441860466
117,True,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,74.44444444444444,62.96296296296296,47.88732394366197,0.8514851485148515,0.6505917904809871,0.4810379241516966,0.4461538461538462,0.24878048780487805
118,True,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,78.49462365591398,64.0,57.52212389380531,0.9746376811594203,0.8478188478188479,0.5233853006681515,0.88,0.3828494260634706
119,True,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,73.91304347826087,60.24096385542169,47.945205479452056,0.8381877022653722,0.6255575647980711,0.498989898989899,0.4461538461538462,0.23671497584541062
