,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw lev,raw fourbyte,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons lev,skeletons fourbyte,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel lev,fstSecSkel fourbyte,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat lev,fStat fourbyte,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 lev,fStat0 fourbyte
263,False,252638781,944652497,ambi wallet,smart GnosisSafe,0,0,25.0,0.2564102564102564,0.1956521739130435,0.33333333333333337,0.0,0.13432835820895522,0.140625,1.0,0,0,13.0,0.3717948717948718,0.3103448275862069,0.0,0.0,0.2857142857142857,0.3046875,1,0,0,13.0,0.3717948717948718,0.3191489361702128,0.6666666666666667,0.0,0.3,0.36046511627906974,1,0,0,4.0,0.5789473684210527,0.4666666666666667,0.0,0.33333333333333337,0.2,0.5,1,0,0,9.0,0.5789473684210527,0.3548387096774194,0.33333333333333337,0.0,0.5,0.7209302325581395,1
264,False,252638781,1185455645,ambi wallet,multisig Stefan George,0,0,0.0,0.010660700184259015,0.047619047619047616,0.010471204188481686,0.005235602094240788,0.008346709470304976,0.008398094760591612,0.0,0,0,0.0,0.009651076466221232,0.02564102564102564,0.010582010582010581,0.010582010582010581,0.01482799525504152,0.009526197041865081,1,0,0,0.0,0.009651076466221232,0.02564102564102564,0.010582010582010581,0.010582010582010581,0.01483679525222552,0.009577819785759334,1,0,0,0.0,0.017448200654307525,1.0,0.010582010582010581,0.0,0.02127659574468085,0.013086150490730697,1,0,0,0.0,0.017448200654307525,0.07317073170731707,0.010582010582010581,0.0,0.03288490284005979,0.010333963453056039,1
265,False,263273729,285146357,ambi wallet,multisig WalletSimple/BitGo,0,0,18.0,0.35714285714285715,0.2,0.5,0.0,0.25806451612903225,0.4482758620689655,1.0,0,0,17.0,0.8571428571428571,0.6923076923076923,1.0,0.0,0.6170212765957447,0.8103448275862069,1,0,0,17.0,0.8571428571428571,0.6923076923076923,1.0,0.0,0.6170212765957447,0.8103448275862069,1,100,100,100.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1,0,0,11.0,1.0,0.7894736842105263,1.0,0.5,0.7647058823529411,0.8793103448275862,1
266,False,263273729,278050681,ambi wallet,multisig Stefan George,0,0,18.0,0.2236842105263158,0.125,1.0,0.0,0.07272727272727272,0.17647058823529416,1.0,0,0,13.0,0.45714285714285713,0.4666666666666667,1.0,0.0,0.4418604651162791,0.5882352941176471,1,0,0,13.0,0.45714285714285713,0.4666666666666667,1.0,0.0,0.4418604651162791,0.5882352941176471,1,0,0,3.0,0.7,0.75,0.0,0.0,0.2857142857142857,0.7,1,0,0,8.0,0.7,0.625,1.0,0.0,0.5625,0.8235294117647058,1
267,True,263273729,281126761,ambi wallet,ambi wallet,0,0,15.0,0.6666666666666666,0.6363636363636364,1.0,0.0,0.43636363636363634,0.6470588235294117,1.0,0,0,12.0,0.5,0.5172413793103449,0.5,0.0,0.5,0.6666666666666667,1,0,0,12.0,0.5,0.5172413793103449,0.5,0.0,0.5,0.6666666666666667,1,0,0,2.0,0.8,1.0,0.0,0.5,0.14285714285714285,0.8,1,0,0,9.0,0.8,0.75,1.0,0.0,0.65625,0.803921568627451,1
268,False,263273729,279554397,ambi wallet,wallet 5,0,0,0.0,0.06470588235294118,0.3584905660377358,0.19999999999999996,0.0,0.030848329048843187,0.04537521815008727,0.0,0,0,0.0,0.09266409266409266,0.6923076923076923,0.19999999999999996,0.0,0.06642066420664207,0.08027923211169286,1,0,0,0.0,0.09266409266409266,0.6923076923076923,0.19999999999999996,0.0,0.06319702602230483,0.08679245283018866,1,0,0,3.0,0.17857142857142858,0.6,0.0,0.0,0.06666666666666667,0.1071428571428571,1,0,0,11.0,0.17857142857142858,0.4782608695652174,0.19999999999999996,0.0,0.14018691588785046,0.09056603773584904,1
269,False,263273729,279982671,ambi wallet,multisig Gavin Wood/Ethereum/Parity,0,0,0.0,0.031331592689295036,0.3584905660377358,0.07999999999999996,0.040000000000000036,0.022222222222222223,0.025231286795626584,0.0,0,0,0.0,0.029320987654320986,0.5172413793103449,0.08333333333333337,0.0,0.0622568093385214,0.037846930193439876,1,0,0,0.0,0.029320987654320986,0.5172413793103449,0.08333333333333337,0.0,0.06274509803921569,0.03926701570680624,1,0,0,3.0,0.05309734513274336,0.23076923076923078,0.08333333333333337,0.0,0.05263157894736842,0.05504587155963303,1,0,0,14.0,0.05309734513274336,0.36,0.08333333333333337,0.0,0.12380952380952381,0.041012216404886614,1
270,False,263273729,330058410,ambi wallet,smart GnosisSafe,0,0,24.24242424242425,0.09567901234567901,0.2631578947368421,0.2857142857142857,0.0,0.10267857142857142,0.07988980716253447,0.0,0,0,20.0,0.15789473684210525,0.5172413793103449,0.2857142857142857,0.0,0.2108843537414966,0.12947658402203854,1,0,0,20.0,0.15789473684210525,0.5172413793103449,0.2857142857142857,0.0,0.21379310344827587,0.14687499999999998,1,0,0,3.0,0.37037037037037035,0.7777777777777778,0.2857142857142857,0.0,0.12903225806451613,0.37037037037037035,1,0,0,11.0,0.37037037037037035,0.5454545454545454,0.2857142857142857,0.0,0.359375,0.15312499999999996,1
271,False,263273729,335801898,ambi wallet,dapper,0,0,11.0,0.2328767123287671,0.125,1.0,0.0,0.05454545454545454,0.23529411764705888,1.0,0,0,9.0,0.5,0.41935483870967744,1.0,0.0,0.46153846153846156,0.6470588235294117,1,0,0,9.0,0.5,0.41935483870967744,1.0,0.0,0.46153846153846156,0.6470588235294117,1,0,0,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.21052631578947367,0.4666666666666667,1,0,0,9.0,0.6666666666666666,0.5238095238095238,1.0,0.0,0.5,0.7450980392156863,1
272,False,263273729,418465659,ambi wallet,smart GnosisSafe,0,0,21.0,0.24786324786324787,0.2631578947368421,1.0,0.0,0.2376237623762376,0.19090909090909092,1.0,0,0,15.0,0.6666666666666666,0.6296296296296297,0.0,0.0,0.5789473684210527,0.3727272727272727,1,0,0,15.0,0.6666666666666666,0.6296296296296297,0.5,0.0,0.5849056603773585,0.6119402985074627,1,0,0,3.0,0.8333333333333334,1.0,1.0,0.5,0.25,0.8333333333333334,1,0,0,10.0,0.8333333333333334,0.4782608695652174,1.0,0.0,0.6666666666666666,0.7164179104477613,1
