,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
fstSecSkel ppdeep,,0.27262613421276616,0.012345334379446016,,,0.42303591497749515,0.47900655954197113,0.4328256214179201,0.393644557115605,0.007863935707649853,0.12862843521390688,0.9938964473742458,0.994971521112961,0.6885468729016826,0.507384884826378,0.5835021176111891,0.5511763114128531,0.6429620601033847,,0.9921043965648236,1.0,0.6877269647924866,0.507384884826378,0.5829114203259347,0.5508703376261209,0.6429620601033847,,0.5987688442346037,0.6069301541020691,0.5751388722504395,0.6111125565555893,0.605948500060471,0.5704880426659887,0.6467717163553659,,0.6400852073649438,0.6334103720040706,0.5851752398228892,0.6111125565555893,0.6165316499613449,0.5327819660262625,0.6452437352273133,
fstSecSkel ppdeep_mod,,0.1238156987393192,-0.11461796111868407,,,0.4656282898957424,0.6840883591626107,0.7033583302887407,0.42796652997035234,0.06489888762654347,0.18047514704626078,0.685011025915532,0.6882211991105289,0.9834900598066824,0.744656930067318,0.7487362870815627,0.5721260998128789,0.7028442926515475,,0.6842717556684772,0.6877269647924866,1.0,0.7446569300673179,0.7448856284256685,0.5783841896417605,0.7028442926515474,,0.5807287536455721,0.5898075027588564,0.6736673869079678,0.7157186128572912,0.7190320136128526,0.49539240751817265,0.6286494976039714,,0.552608112145815,0.5481191415874918,0.7152624152429075,0.7157186128572912,0.7762665759945597,0.5866577660752255,0.7106089190255369,
fstSecSkel byteBag,,0.05006261743217588,-0.15788979343993934,,,0.4788538738745595,0.8534798534798536,0.7114755486183438,0.41286247089302275,-0.060880366531416964,0.1764929065764261,0.5083048883511113,0.5079983752262262,0.739817525233658,1.0,0.7449882923120953,0.5291768628240963,0.6512250219118395,,0.5066569290930678,0.507384884826378,0.7446569300673179,1.0,0.7458679064900706,0.5353576491482722,0.6512250219118396,,0.5229545040042823,0.5298083442092457,0.6529481874025262,0.7262737262737262,0.7085555961886578,0.42592915967417144,0.5374876235273977,,0.44988314027768517,0.44809549738121074,0.6716952108061103,0.7262737262737262,0.7258133746747424,0.5699052136485392,0.6538852098286408,
fstSecSkel lzjd,,0.0806687058639531,-0.14020150626136826,,,0.4111717665799752,0.7552498927352287,0.6750969578338517,0.47678852016297013,-0.007741512141089919,0.14044495320040132,0.5847428153375209,0.5854446341143098,0.7383159442845026,0.7458679064900706,0.9967965071712617,0.5549470134580787,0.7005466366964228,,0.5830583400632843,0.5829114203259347,0.7448856284256685,0.7458679064900706,1.0,0.5618450020306949,0.7005466366964228,,0.537221031575111,0.5341066655267942,0.6415095796105567,0.6614300302836476,0.7041968749950729,0.5228110132167176,0.5793885814638624,,0.47694111321589666,0.470749261503654,0.6987713222131503,0.6614300302836476,0.7685865347846669,0.6093313733257062,0.7099563969028383,
fstSecSkel bz,,0.3485685555764254,0.014026903644926576,,,0.3671088455422187,0.5273523011236252,0.45351289670067974,0.49232334428276464,-0.15446536092618351,0.1267798830030033,0.545871125111357,0.552433724325069,0.5692875280791668,0.5353576491482722,0.565967982114986,0.9849699948198568,0.790853221513319,,0.5442072522694544,0.5508703376261209,0.5783841896417605,0.5353576491482722,0.5618450020306949,1.0,0.790853221513319,,0.5318019418875459,0.540686897770451,0.5876280505511379,0.6020688826869977,0.7238323908977107,0.7190788683578258,0.7606812892341837,,0.5587642944400836,0.5631144819995716,0.7432157081984879,0.6020688826869977,0.5628797183576574,0.8132201129617751,0.7882431969395938,
fstSecSkel jump,,0.25087211364499695,-0.11317275517784081,,,0.4441122595777082,0.64255979644116,0.563483389872153,0.5075871339536582,-0.09842718232133019,0.19986360919504847,0.6427589965634872,0.6405429772842887,0.7030078755574259,0.6512250219118396,0.69965854242459,0.780577438030522,1.0,,0.6410616154748828,0.6429620601033847,0.7028442926515474,0.6512250219118396,0.7005466366964228,0.790853221513319,1.0,,0.6160170649713582,0.6251157739905826,0.7315764163657628,0.689885258627179,0.8248225385693124,0.6787858572381588,0.8284142186208193,,0.5763962261643504,0.571427457638115,0.8407375651113058,0.689885258627179,0.7075591082227606,0.7858572381587725,0.9854831870475124,
fstSecSkel fourbytes,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
fStat ssdeep,,0.12031558156647995,-0.2019209325420055,,,0.40372707182033984,0.47618216967849486,0.5363101049027269,0.3545117373452472,-0.004998300866508993,0.438133148784081,0.6046969912682273,0.5968777036703767,0.5819244933745138,0.5229545040042823,0.5368108613031962,0.5306278647286348,0.6160170649713582,,0.6052102637086473,0.5987688442346037,0.5807287536455721,0.5229545040042823,0.537221031575111,0.5318019418875459,0.6160170649713582,,1.0,0.9899400073503554,0.6629434918023327,0.5607704338847062,0.5581551703081814,0.544804097880894,0.6069519772806972,,0.8007776430353803,0.7924858590031923,0.6156011977647575,0.5607704338847062,0.5400023215717267,0.5338482567900533,0.6148307841081083,
fStat ppdeep,,0.12639915384366288,-0.1945812700248918,,,0.40027307343872404,0.48291382033385105,0.5346987911040059,0.355937085701926,-0.01152612475321481,0.4376976061427371,0.61067003069851,0.6050293354903544,0.591015381257771,0.5298083442092457,0.5336946619188341,0.5405063377728396,0.6251157739905826,,0.6089872017690521,0.6069301541020691,0.5898075027588564,0.5298083442092457,0.5341066655267942,0.540686897770451,0.6251157739905826,,0.9899400073503554,1.0,0.6691901629009472,0.5667253098132797,0.5636284755985489,0.5532174741066818,0.616025755618761,,0.8110789211105947,0.8044162304747653,0.6232260777844628,0.5667253098132797,0.5409089320173102,0.5427323053736129,0.6244296878152028,
fStat ppdeep_mod,,0.08378261536113274,-0.20664031603775174,,,0.3846674629281044,0.630848402598133,0.6409437826325123,0.3612037939330214,-0.07198120045489398,0.2304998119324897,0.5779599039180254,0.5727592905729483,0.6768418509842057,0.6529481874025262,0.6412807667453579,0.5767024665483611,0.7315764163657628,,0.5762788537319478,0.5751388722504395,0.6736673869079678,0.6529481874025262,0.6415095796105567,0.5876280505511379,0.7315764163657628,,0.6629434918023327,0.6691901629009472,1.0,0.5792822380545489,0.6771097377835873,0.5023513734000359,0.6232273253389793,,0.5769028493255249,0.5730117300683474,0.699646732251031,0.5792822380545489,0.6645317668946502,0.586802705018988,0.7295956786100197,
