,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
skeletons fourbytes,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ssdeep,0.16628533979460408,0.020435884843152955,0.037505907332697506,0.31067672424016657,0.31071481888224567,0.14086600034234195,0.1571306773185948,0.1687530100819826,0.15311676474587352,0.026373266837798587,0.16618529448331068,0.12892165568292513,0.9849688768385704,0.983217874982429,0.18065191974857203,0.1511244668178083,0.1708743397779105,0.15286651642434299,0.1763676120836295,0.1763998282806459,,1.0,0.9977728309617836,0.1859621262257114,0.15411469671951664,0.17110459663815433,0.15298245519209774,0.1768185829439703,0.17563460413198562,,0.365844628919003,0.3647684261684575,0.15344092259413447,0.1500605204888928,0.0615705148981576,0.16073314677622585,0.15826795805068752,0.15920855424530986,,0.40932711478788036,0.4089424090665309,0.12414506662696226,0.1500605204888928,0.1471692556550965,0.15300225306764917,0.17732553930976044,0.17345566558641082,
fstSecSkel ppdeep,0.1663395187939383,0.020365529157440464,0.037490228447460985,0.31047458929201993,0.31051638927638814,0.1409399033842011,0.15733696910586495,0.16885756152576323,0.15326994333240374,0.026330513372858667,0.16625707885974528,0.12898852634623018,0.9831608105537577,0.9849522764983086,0.18096875627780326,0.15135002954050422,0.17095283179626933,0.15300388238591764,0.1763991450407364,0.1764798265056951,,0.9977728309617836,1.0,0.18630505287775798,0.15434544468542044,0.17118127033518113,0.15312703842440978,0.17686233192776668,0.17571842527537562,,0.36586157946586895,0.3648021043786128,0.15357846469932263,0.15027047048519035,0.06150542015102873,0.16088958161444186,0.15831534839490216,0.15929187401627465,,0.4092684352310004,0.4088961095322811,0.12410854889032524,0.15027047048519035,0.14721321043008465,0.1531650699607746,0.17735974052778164,0.17353793558496,
fstSecSkel ppdeep_mod,0.43054232876020593,-0.11870241264071013,-0.026798076445561734,0.07715921735627443,0.07717029418203084,0.6023893732949842,0.6954241145991313,0.5831751628489261,0.6579244329598949,0.08762731036764144,0.5288387507582466,0.49534723973647404,0.18317148808186215,0.1834657165501662,0.9300843235301743,0.7049669792390071,0.543692124122534,0.6478644686521264,0.5956842139661123,0.5073757036642182,,0.1859621262257114,0.18630505287775798,1.0,0.7155429108312279,0.5435231445240377,0.6448682635383081,0.5939201007891585,0.5101009555054308,,0.20336772680336382,0.20329227609259304,0.5753085774179947,0.6949271127836614,-0.2733059884382617,0.6407080094112143,0.5958199759625431,0.5076092983928017,,0.16930125654143197,0.16930089632436174,0.34127142633984064,0.6949271127836614,0.4086455928289259,0.6559077021108917,0.5904974387607742,0.5317914490369475,
fstSecSkel byteBag,0.4493416811319689,-0.1179648508181223,-0.01211809352051286,0.06838000056715303,0.06839167787275321,0.6319032315957852,0.8409213797693851,0.7158922200381082,0.7978858618074088,0.1369693007274921,0.636789103218803,0.5147423305549942,0.15191503288847322,0.15212300451645036,0.7123687107427087,0.9333492062973774,0.6476979266831552,0.787340198071455,0.669845719094041,0.6123719482827346,,0.15411469671951664,0.15434544468542044,0.7155429108312279,1.0,0.6537705765875101,0.8081227220819552,0.6690773594475474,0.6218367146853357,,0.2085546677079125,0.20855818727039402,0.5965415816548135,0.9049643536055184,-0.27448446069174476,0.802485923498243,0.7052256752261414,0.6241760444974489,,0.16603439120408156,0.1660778596070831,0.4076012988862814,0.9049643536055184,0.45141425185063794,0.820349931151126,0.6652129108747871,0.6475296317604123,
fstSecSkel lzjd,0.39413687401396996,-0.0977646320709232,0.007163860922802126,0.07414930014948326,0.07415850908071688,0.50835135829814,0.6428551392760932,0.7707530943391068,0.5996520001449471,0.05159677540962653,0.6683558942621559,0.392803453731705,0.16862075715419203,0.16867362265020183,0.5349767167314986,0.628239934160039,0.9188904350602528,0.6028365326060329,0.5736767878880078,0.6671334509132357,,0.17110459663815433,0.17118127033518113,0.5435231445240377,0.6537705765875101,1.0,0.6149497417758338,0.5726051398192634,0.6768809923725911,,0.22628030108747274,0.22605703435553823,0.5316084111040722,0.640369954965891,-0.06535397440029128,0.6200831109825452,0.6086930503880856,0.6973742057175935,,0.20083172455671652,0.20064634221257766,0.3382064896724544,0.640369954965891,0.6218913511991587,0.6181147639178313,0.5740679676056679,0.7174080483724571,
fstSecSkel bz,0.48535881628803557,-0.11359280980236273,0.015509684202928793,0.06816391339749293,0.06817270179969136,0.5950234012701793,0.7361394237720505,0.6843840743946491,0.8695867400159077,0.13625969354720766,0.6346322600835486,0.5419946714214413,0.15110862656525756,0.1512350461911439,0.6522546752529376,0.7863212439405373,0.6132419147584997,0.9160182907026372,0.7181456908626429,0.6032673633655171,,0.15298245519209774,0.15312703842440978,0.6448682635383081,0.8081227220819552,0.6149497417758338,1.0,0.7156216547247247,0.6125336425502215,,0.20540021637833422,0.2053992369975437,0.5511987739272055,0.8070090422150548,-0.2639690969132082,0.8825441716236497,0.7598647708037016,0.6307607089655274,,0.16073199836814597,0.1607835447960048,0.39110393771744234,0.8070090422150548,0.41697485043581445,0.9308175973171358,0.7119254335826364,0.6388868695073138,
fstSecSkel jump,0.449351600655015,-0.09051391722356984,0.01286640959734734,0.06955447605262621,0.06956481119552696,0.5185194152257236,0.635253837229752,0.6278413650777125,0.7119103391830416,0.12712642349659548,0.6236009760457171,0.5100517291382682,0.17457424837912258,0.17460290596254746,0.5780224323335258,0.667639999911615,0.5853581546595378,0.7246194938910059,0.9358748858570424,0.6141836992645436,,0.1768185829439703,0.17686233192776668,0.5939201007891585,0.6690773594475474,0.5726051398192634,0.7156216547247247,1.0,0.6093094402666714,,0.19524821820053498,0.19512087833462416,0.4532860334129062,0.65940542461072,-0.1916739428355983,0.705767416660882,0.7553434079388035,0.5898378426701126,,0.18824115184050044,0.18817748315332666,0.35394812581252716,0.65940542461072,0.3771119537380463,0.7146760726184213,0.8657249005395151,0.6341420296285462,
fstSecSkel ncd,0.4964076234299704,-0.0867457673838481,0.02753838175149143,0.07327910238792795,0.07328851242116029,0.4885764466808851,0.6122992142323355,0.7015737216963404,0.5974070364642173,0.0933310919241893,0.8686092260354649,0.5039246219534432,0.17286324378766224,0.1729284375635092,0.5122419680419551,0.608389264597931,0.6765821278236472,0.6022613063257075,0.6115159770738577,0.9614258887706285,,0.17563460413198562,0.17571842527537562,0.5101009555054308,0.6218367146853357,0.6768809923725911,0.6125336425502215,0.6093094402666714,1.0,,0.22822135981925354,0.2281053488045552,0.4400766826920267,0.613018085647249,-0.06618665304048907,0.6072440234709191,0.6439983157285694,0.7094557411271672,,0.2127278400683461,0.21261772088236974,0.3604208128708826,0.613018085647249,0.4299866464281219,0.6120846838023178,0.612125746489777,0.8139350978452747,
fstSecSkel fourbytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
fStat ssdeep,0.3100155775704904,-0.06202917013392245,-0.019460599356525422,0.2888738050503074,0.2889148234130559,0.1769325768980192,0.19564264687275656,0.22162323068169515,0.19336731686373843,0.004246784418571353,0.22460910536586903,0.24296485249531907,0.3548760554524551,0.3548516058927026,0.20676537966571767,0.1960589657045174,0.22230146742356627,0.19386520308268068,0.20228181724241945,0.22686730882528278,,0.365844628919003,0.36586157946586895,0.20336772680336382,0.2085546677079125,0.22628030108747274,0.20540021637833422,0.19524821820053498,0.22822135981925354,,1.0,0.997505541483935,0.2218356291487274,0.21206244577206423,0.15853869182066274,0.21073804612205793,0.22416986050629648,0.2328244847022481,,0.5475224020489533,0.5474859833759406,0.18237277837567167,0.21206244577206423,0.20944262835018723,0.20421288512553468,0.1952869622278765,0.2304854686794285,
fStat ppdeep,0.31005843721861104,-0.06191437989668178,-0.01932756183686219,0.28630816294236483,0.28634941191260865,0.1766607613574317,0.19558504850815334,0.22136083231041814,0.19328011840970613,0.004053016697149352,0.2244655516663834,0.24292509284310512,0.3537761533008916,0.3537688269854022,0.20666460908516324,0.19600648093514617,0.22206583430851226,0.1937704683958057,0.20213488493194146,0.22671986996958496,,0.3647684261684575,0.3648021043786128,0.20329227609259304,0.20855818727039402,0.22605703435553823,0.2053992369975437,0.19512087833462416,0.2281053488045552,,0.997505541483935,1.0,0.22242724554243903,0.2121412427958487,0.15818009985040446,0.210736401051795,0.22411089645056356,0.23268200350680357,,0.546677999564696,0.5466654073505225,0.18216601203377336,0.2121412427958487,0.2092045354953034,0.2042909161311808,0.19515305605901045,0.23030371416902604,
fStat ppdeep_mod,0.3444038042706663,-0.08500453447726233,0.011862593752491147,0.058084463168428926,0.05809527750751242,0.49884829328703467,0.5806284289820283,0.5273245733856496,0.5434756465482223,0.08224048530694182,0.45267265795285566,0.36122543421342296,0.15032541952340014,0.1504454855930255,0.5714790116803048,0.5792764318757775,0.523416809544643,0.5400163403648266,0.4580253383098561,0.4335967122949914,,0.15344092259413447,0.15357846469932263,0.5753085774179947,0.5965415816548135,0.5316084111040722,0.5511987739272055,0.4532860334129062,0.4400766826920267,,0.2218356291487274,0.22242724554243903,1.0,0.609681942623084,-0.22712715160597163,0.5609325713943688,0.48111850588500343,0.47219797599577024,,0.1621254813219237,0.1622576958877724,0.35271381957692244,0.609681942623084,0.43348682495990637,0.5631796542071439,0.45660226005622495,0.4803334845716743,
