,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
1151,True,307099924,1708151736,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.46601941747572817,0.37616279069767444,0.25183374083129584,0.5555555555555556,0.03703703703703709,0.6,0.0,0.0,0.40909090909090906,0.6118251928020566,0.29745042492917845,0.6799999999999999,0.16000000000000003,1,0.0,0.0,0.42647058823529416,0.6118251928020566,0.29310344827586204,0.64,0.16000000000000003,1,0.0,0.0,0.38,0.6811594202898551,0.6078431372549019,0.6799999999999999,0.31999999999999995,1,0.0,0.0,0.0,0.6811594202898551,0.44680851063829785,0.6,0.16000000000000003,1
1152,True,307099924,1568310844,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4835164835164835,0.4302158273381295,0.28967254408060455,0.7619047619047619,0.0,0.75,0.0,0.0,0.4482758620689655,0.6727272727272727,0.30484330484330485,0.6842105263157895,0.1578947368421053,1,0.0,0.0,0.45,0.6727272727272727,0.30057803468208094,0.6842105263157895,0.1578947368421053,1,0.0,0.0,0.38,0.7815126050420168,0.4642857142857143,0.5789473684210527,0.3157894736842105,1,0.0,0.0,0.0,0.7815126050420168,0.44680851063829785,0.5789473684210527,0.1578947368421053,1
1153,True,307099924,1615276909,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.47540983606557374,0.2949512843224092,0.17162471395881007,0.5151515151515151,0.030303030303030276,0.6,0.0,0.0,0.0,0.39561332250203085,0.21164021164021163,0.4516129032258065,0.12903225806451613,1,0.0,0.0,0.0,0.39561332250203085,0.20320855614973263,0.4838709677419355,0.12903225806451613,1,0.0,0.0,0.38,0.39603960396039606,0.43859649122807015,0.5483870967741935,0.22580645161290325,1,0.0,0.0,0.0,0.39603960396039606,0.48905109489051096,0.5161290322580645,0.16129032258064513,1
1154,True,307099924,1616867256,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.6352941176470588,0.7737142857142857,0.46285714285714286,0.7142857142857143,0.04761904761904767,0.75,0.71,0.8,0.7857142857142857,0.8612099644128114,0.5738831615120275,0.736842105263158,0.6842105263157895,1,0.69,0.79,0.78125,0.8612099644128114,0.5679442508710801,0.736842105263158,0.6842105263157895,1,0.38,0.38,0.38,0.7727272727272727,0.5185185185185185,0.736842105263158,0.6842105263157895,1,0.6,0.6,0.6,0.7727272727272727,0.6062992125984252,0.6842105263157895,0.631578947368421,1
1155,True,307457141,309709609,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5753424657534246,0.8060075093867334,0.5103244837758112,0.7,0.050000000000000044,0.75,0.75,0.82,0.810344827586207,0.8850574712643678,0.6589147286821705,0.736842105263158,0.5789473684210527,1,0.75,0.83,0.8135593220338982,0.8850574712643678,0.6535433070866141,0.736842105263158,0.5789473684210527,1,0.4,0.37,0.37,0.898989898989899,0.8095238095238095,0.736842105263158,0.7894736842105263,1,0.57,0.57,0.57,0.898989898989899,0.7307692307692307,0.6842105263157895,0.5789473684210527,1
1156,True,307457141,309797691,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5106382978723404,0.721875,0.3128205128205128,0.8095238095238095,0.04761904761904767,0.6,0.0,0.0,0.6046511627906976,0.8278688524590164,0.42679127725856697,0.8,0.19999999999999996,1,0.0,0.0,0.6,0.8278688524590164,0.4240506329113924,0.7,0.19999999999999996,1,0.0,0.0,0.37,0.7948717948717948,0.5185185185185185,0.85,0.7,1,0.0,0.0,0.36585365853658536,0.7948717948717948,0.42657342657342656,0.6,0.19999999999999996,1
1157,True,307457141,321655678,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5975609756097561,0.775175644028103,0.4422535211267606,0.65,0.050000000000000044,0.75,0.65,0.75,0.7355371900826446,0.8667883211678832,0.5369127516778524,0.5789473684210527,0.5263157894736843,1,0.65,0.75,0.7398373983739838,0.8667883211678832,0.5306122448979592,0.6842105263157895,0.5263157894736843,1,0.38,0.38,0.38,0.8018867924528302,0.43859649122807015,0.736842105263158,0.6842105263157895,1,0.6,0.6,0.6,0.8018867924528302,0.5396825396825397,0.5789473684210527,0.5263157894736843,1
1158,True,307457141,322173837,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.6027397260273972,0.8354114713216958,0.5421686746987951,0.8,0.050000000000000044,0.75,0.85,0.9,0.8823529411764706,0.9196940726577438,0.6515151515151515,0.7894736842105263,0.6842105263157895,1,0.85,0.9,0.884297520661157,0.9196940726577438,0.6461538461538462,0.7894736842105263,0.6842105263157895,1,0.42,0.38,0.38,0.92,0.7777777777777778,0.736842105263158,0.7894736842105263,1,0.58,0.58,0.58,0.92,0.6964285714285714,0.7894736842105263,0.6842105263157895,1
1159,True,307457141,323591495,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5301204819277108,0.7304730473047305,0.3403141361256545,0.6,0.0,0.75,0.0,0.0,0.5238095238095238,0.8036912751677853,0.444794952681388,0.631578947368421,0.21052631578947367,1,0.0,0.0,0.53125,0.8036912751677853,0.43769968051118213,0.631578947368421,0.21052631578947367,1,0.0,0.0,0.38,0.7350427350427351,0.5185185185185185,0.6842105263157895,0.5263157894736843,1,0.0,0.0,0.44776119402985076,0.7350427350427351,0.4166666666666667,0.6842105263157895,0.21052631578947367,1
1160,True,307457141,357416116,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5164835164835165,0.37470588235294117,0.24271844660194175,0.7391304347826086,0.04347826086956519,0.6,0.0,0.0,0.421875,0.6220159151193634,0.28651685393258425,0.6818181818181819,0.18181818181818177,1,0.0,0.0,0.4242424242424242,0.6220159151193634,0.28205128205128205,0.5909090909090908,0.18181818181818177,1,0.0,0.0,0.38,0.7058823529411765,0.4909090909090909,0.6363636363636364,0.4545454545454546,1,0.0,0.0,0.0,0.7058823529411765,0.4676258992805755,0.5,0.18181818181818177,1
